Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-04-29,286.953247,96.120003,139.0,120.059998,43.34,93.251007,112.25,37.470001,190.029999,221.809998,126.986954,61.452866,149.205704,97.860001,47.119999,187.820007,154.725372,80.769997,176.93721,88.07,37.743847,117.080002,67.303833,106.0,287.649994,181.486115,58.119999,44.851559,123.058685,46.557285
2020-04-28,277.827911,88.190002,131.300003,115.459999,42.490002,88.609154,106.209999,35.869999,187.009995,217.630005,124.598976,58.419998,150.347778,95.290001,46.740002,185.929993,156.062119,81.18,169.338379,88.800003,37.535919,116.889999,64.815872,104.290001,288.359985,170.96373,57.830002,44.149521,127.439415,44.114647
2020-04-27,282.405548,85.059998,128.679993,115.199997,43.060001,88.412041,106.059998,34.439999,183.539993,217.759995,124.253609,59.135956,153.227814,94.620003,46.779999,185.889999,152.141006,83.980003,173.566605,89.370003,37.951778,117.449997,64.49868,102.889999,293.980011,171.472885,57.810001,43.931984,127.738106,43.104237
2020-04-24,282.206085,83.169998,128.979996,114.040001,42.52,85.751106,101.190002,33.119999,177.0,212.179993,123.069489,58.927135,153.7939,90.709999,45.43,184.020004,145.55632,81.43,174.065216,88.370003,37.01115,118.779999,62.873081,100.82,291.290009,167.040314,57.93,43.249718,128.873108,42.898232
2020-04-23,274.287506,82.459999,137.740005,112.910004,41.619999,85.544151,101.0,32.560001,175.050003,202.320007,119.744087,58.70837,154.439407,89.389999,45.07,182.039993,142.912552,80.879997,170.943909,87.349998,36.327957,119.400002,62.73431,100.449997,285.329987,166.101883,57.59,43.012409,127.967094,42.623558
2020-04-22,275.354614,82.540001,134.970001,110.639999,41.759998,83.218292,100.989998,31.84,175.979996,204.169998,117.731079,59.762417,151.936768,89.339996,45.68,186.479996,142.199615,79.980003,173.038086,88.769997,35.8923,118.609001,62.892906,101.790001,277.019989,166.311523,57.990002,42.824539,131.013687,41.328667
2020-04-21,267.645477,81.519997,136.330002,109.849998,40.549999,80.458801,100.540001,30.879999,173.809998,200.610001,115.214836,56.043427,148.649551,89.050003,45.380001,177.580002,140.239059,78.559998,167.353912,85.199997,35.268517,118.887138,62.09993,101.779999,274.190002,160.261658,56.82,42.073055,128.644119,40.180916
2020-04-20,276.182373,84.010002,143.610001,114.599998,42.540001,82.360878,102.260002,31.530001,180.399994,206.050003,118.816528,58.847584,150.625854,91.709999,46.529999,181.649994,142.259018,83.099998,174.573792,87.900002,35.72398,119.801048,64.409477,101.779999,282.140015,163.945496,58.130001,42.369694,129.281326,40.396732
2020-04-17,282.03653,87.389999,154.0,116.300003,42.48,85.908791,106.629997,33.419998,183.490005,209.419998,118.530365,60.020958,150.97345,95.18,48.060001,186.100006,145.021637,83.459999,178.103973,89.910004,36.545788,123.863953,65.489899,105.07,290.559998,169.256592,58.459999,44.001198,131.541367,42.397934
2020-04-16,285.916046,81.349998,134.240005,112.190002,41.5,78.832672,102.019997,31.629999,177.039993,199.850006,114.198463,60.448544,148.639618,87.330002,47.099998,179.5,143.476944,83.0,176.548294,86.300003,35.525955,120.695084,61.901688,99.809998,298.429993,162.148499,57.66,42.745434,131.750458,38.405346
2020-04-15,283.66214,83.790001,145.979996,110.515373,41.52,81.296501,103.370003,32.23,178.520004,198.479996,117.119293,58.539326,146.643463,90.790001,47.610001,177.839996,143.73439,82.07,171.402634,85.040001,35.615067,120.416939,61.782742,102.169998,281.679993,165.682587,56.93,42.953079,128.196075,39.710049
2020-04-14,286.275055,88.389999,141.0,115.420349,42.779999,83.385834,106.029999,35.369999,178.229996,207.169998,122.27021,60.319271,145.024673,95.5,48.919998,183.990005,148.665482,82.839996,173.217575,87.470001,36.080425,120.158661,64.49868,108.019997,270.5,174.328094,58.139999,45.860126,128.435028,41.622959
2020-04-13,272.512329,90.330002,147.330002,113.101631,41.220001,83.681496,103.5,35.23,179.179993,198.789993,119.546738,58.370281,138.807785,98.190002,46.93,180.119995,144.962204,80.540001,165.050323,84.459999,34.793255,115.181847,61.287132,106.419998,263.51001,168.70752,56.669998,43.61557,124.751244,41.946678
2020-04-09,267.26651,94.82,151.839996,123.892555,41.200001,83.090172,104.5,36.560001,184.259995,201.529999,119.892105,56.819042,140.257721,102.760002,49.0,183.699997,146.328659,82.489998,164.681351,86.790001,35.040787,113.900398,64.141838,109.739998,264.130005,173.399658,57.439999,43.487026,121.266571,42.309643
2020-04-08,265.351715,92.080002,146.869995,126.240997,41.740002,84.736015,101.07,34.790001,176.960007,194.820007,117.711349,58.648708,142.273743,94.300003,47.82,177.490005,147.526779,81.620003,164.671387,85.300003,34.258583,114.337479,62.07019,104.940002,267.829987,174.647568,57.184998,42.607002,121.306389,43.015945
2020-04-07,258.729614,87.580002,141.580002,120.810852,40.639999,79.749214,101.239998,32.330002,166.020004,192.289993,113.418915,58.071968,136.533539,90.639999,46.509998,175.589996,143.179901,78.559998,163.035934,84.160004,33.278351,112.022919,57.252861,100.779999,248.039993,168.308182,56.373726,42.330143,121.455734,40.455593
2020-04-06,261.761414,83.870003,148.770004,119.334412,41.43,79.226891,99.580002,30.540001,158.229996,191.330002,113.300507,58.101799,138.797836,89.459999,46.669998,177.039993,139.318192,80.309998,164.810989,84.629997,34.228878,117.029526,57.054623,98.980003,248.339996,169.156769,56.096706,42.152161,125.517868,39.700241
2020-04-03,240.75827,73.599998,124.519997,113.626808,39.060001,74.023285,93.879997,27.969999,146.929993,178.699997,104.932724,53.825951,133.246323,84.050003,43.830002,160.330002,132.476044,76.25,153.402771,78.860001,33.308056,114.317619,49.491611,93.889999,229.490005,151.596176,54.117985,40.263569,118.956734,38.464203
